Store,Type,Size,MAPE_Prophet,Avg_Weekly_Sales,Best_Model,Validation_Period
1,A,151315,3.81,1555264.4,Prophet,May 2012 - Oct 2012
2,A,202307,3.12,1925751.34,Prophet,May 2012 - Oct 2012
3,B,37392,4.44,402704.44,Prophet,May 2012 - Oct 2012
4,A,205863,3.12,2094712.96,Prophet,May 2012 - Oct 2012
5,B,34875,4.13,318011.81,Prophet,May 2012 - Oct 2012
6,A,202505,3.41,1564728.19,Prophet,May 2012 - Oct 2012
7,B,70713,7.14,570617.31,Prophet,May 2012 - Oct 2012
8,A,155078,2.88,908749.52,Prophet,May 2012 - Oct 2012
9,B,125833,5.23,543980.55,Prophet,May 2012 - Oct 2012
10,B,126512,2.57,1899424.57,Prophet,May 2012 - Oct 2012
11,A,207499,3.48,1356383.12,Prophet,May 2012 - Oct 2012
12,B,112238,5.14,1009001.61,Prophet,May 2012 - Oct 2012
13,A,219622,2.55,2003620.31,Prophet,May 2012 - Oct 2012
14,A,200898,14.55,2020978.4,Prophet,May 2012 - Oct 2012
15,B,123737,4.37,623312.47,Prophet,May 2012 - Oct 2012
16,B,57197,8.13,519247.73,Prophet,May 2012 - Oct 2012
17,B,93188,4.74,893581.39,Prophet,May 2012 - Oct 2012
18,B,120653,4.28,1084718.42,Prophet,May 2012 - Oct 2012
19,A,203819,4.02,1444999.04,Prophet,May 2012 - Oct 2012
20,A,203742,3.79,2107676.87,Prophet,May 2012 - Oct 2012
21,B,140167,4.77,756069.08,Prophet,May 2012 - Oct 2012
22,B,119557,3.35,1028501.04,Prophet,May 2012 - Oct 2012
23,B,114533,4.31,1389864.46,Prophet,May 2012 - Oct 2012
24,A,203819,4.7,1356755.39,Prophet,May 2012 - Oct 2012
25,B,128107,3.63,706721.53,Prophet,May 2012 - Oct 2012
26,A,152513,3.53,1002911.84,Prophet,May 2012 - Oct 2012
27,A,204184,3.72,1775216.2,Prophet,May 2012 - Oct 2012
28,A,206302,7.85,1323522.24,Prophet,May 2012 - Oct 2012
29,B,93638,5.57,539451.43,Prophet,May 2012 - Oct 2012
30,C,42988,2.68,438579.62,Prophet,May 2012 - Oct 2012
31,A,203750,2.38,1395901.44,Prophet,May 2012 - Oct 2012
32,A,203007,2.3,1166568.15,Prophet,May 2012 - Oct 2012
33,A,39690,5.45,259861.69,Prophet,May 2012 - Oct 2012
34,A,158114,2.54,966781.56,Prophet,May 2012 - Oct 2012
35,B,103681,6.8,919724.98,Prophet,May 2012 - Oct 2012
36,A,39910,4.66,373511.99,Prophet,May 2012 - Oct 2012
37,C,39910,1.79,518900.28,Prophet,May 2012 - Oct 2012
38,C,39690,6.64,385731.65,Prophet,May 2012 - Oct 2012
39,A,184109,2.88,1450668.13,Prophet,May 2012 - Oct 2012
40,A,155083,5.35,964128.04,Prophet,May 2012 - Oct 2012
41,A,196321,2.93,1268125.42,Prophet,May 2012 - Oct 2012
42,C,39690,7.83,556403.86,Prophet,May 2012 - Oct 2012
43,C,41062,8.01,633324.72,Prophet,May 2012 - Oct 2012
44,C,39910,2.15,302748.87,Prophet,May 2012 - Oct 2012
45,B,118221,3.49,785981.41,Prophet,May 2012 - Oct 2012
